,ASX code,Company name,GICs industry group,Listing date,Market Cap,market_cap,beta,industry_cap,industry_weight,weighted_beta,industry_beta
1187,NMG,NEW MURCHISON GOLD LIMITED,Materials,22/03/2001,703445704,703445704,0.49202631967738286,1009891818903,0.0006965555031073738,0.00034272364064494895,1.0750260251119568
1188,NMR,NATIVE MINERAL RESOURCES HOLDINGS LIMITED,Materials,16/11/2020,51025141,51025141,0.5549628446516957,1009891818903,5.052535335460615e-05,2.803969382470432e-05,1.0750260251119568
1189,NMT,NEOMETALS LTD,Materials,10/07/2002,56245883,56245883,1.9081343492086578,1009891818903,5.569495855615245e-05,0.00010627346349874712,1.0750260251119568
1191,NNL,NORDIC RESOURCES LTD,Materials,01/06/2022,73329354,73329354,0.11910659780244119,1009891818903,7.261109816658815e-05,8.64846086532139e-06,1.0750260251119568
1192,NOL,NOBLEOAK LIFE LIMITED,Insurance,22/07/2021,135697539,135697539,0.10208316923076233,95017277862,0.001428135409194554,0.00014578858866125165,0.7397004388013565
1193,NOR,NORWOOD SYSTEMS LIMITED,Software & Services,27/06/1995,6791132,6791132,-0.17796871987342852,88152131966,7.703877204716181e-05,-1.3710491641854256e-05,1.2989843852591967
1194,NOU,NOUMI LIMITED,"Food, Beverage & Tobacco",07/11/1985,36024211,36024211,0.8374372939652134,22040372634,0.001634464697952892,0.0013687616937353398,0.6414310699034725
1195,NOV,NOVATTI GROUP LIMITED,Software & Services,18/01/2016,17563822,17563822,0.8973747736730985,88152131966,0.0001992444380899864,0.00017879693253662523,1.2989843852591967
1196,NOX,NOXOPHARM LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",09/08/2016,24840226,24840226,0.746062894613705,104138713167,0.00023853018003175687,0.0001779585165672207,0.8464389618170871
1197,NPM,NEWPEAK METALS LIMITED,Materials,11/04/2011,8886870,8886870,0.6149595368159279,1009891818903,8.799823737213167e-06,5.4115355294984164e-06,1.0750260251119568
1198,NRX,NORONEX LIMITED,Materials,15/11/2017,9366492,9366492,0.8734213400989775,1009891818903,9.274747873662745e-06,8.100762716894658e-06,1.0750260251119568
1200,NSB,NEUROSCIENTIFIC BIOPHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",27/07/2018,49886356,49886356,0.8225417159113814,104138713167,0.00047903756905465813,0.00039402838403623536,0.8464389618170871
1201,NSC,NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED,Not Applic,25/03/2004,50160492,50160492,0.4398464298763121,53144097147,0.0009438582023748159,0.0004151526606240365,0.39524811934156545
1202,NSM,NORTH STAWELL MINERALS LTD,Materials,24/09/2020,11572786,11572786,0.19009391843990203,1009891818903,1.145943138005712e-05,2.178368214128232e-06,1.0750260251119568
1203,NSR,NATIONAL STORAGE REIT,Equity Real Estate Investment Trusts (REITs),19/12/2013,3861164568,3861164568,0.8015623539603735,187334950343,0.02061102085291837,0.016521018392391593,1.046556544211197
1204,NST,NORTHERN STAR RESOURCES LTD,Materials,17/12/2003,38787234308,38787234308,0.8491452841755593,1009891818903,0.03840731609266112,0.03261339133792326,1.0750260251119568
